source,target
挺宽大,挺宽
挺宽大,挺大
挺大,挺宽大
很宽大,很宽
很宽大,很大
很大,很宽大
阔大,宽大
宽大,阔大
早餐,早点
挺好,挺不錯
挺好,挺棒
还行,还可以
还可以,还行
较远,较偏
很不错,很好
丰盛,丰富
不便宜,貴
很不错,很棒
很不错,很到位
很到位,很不错
到位,好
到位,不錯
很好,很棒
和蔼,热情
热情,和蔼
和蔼,親切
親切,和蔼
親切,热情
种类,品种
大气,富丽
富丽,大气
满意,好
非常好,非常满意
超好,非常满意
超好,非常好
非常好,超好
差,不好
很差,极差
很差,很不好
舒适,舒服
舒服,舒适
老,旧
旧,老
老,陈旧
陈旧,老
有点旧,比较旧
比较旧,有点旧
有点旧,比较老旧
比较老旧,有点旧
有点旧,有点老旧
比较旧,比较老旧
陈旧,旧
比较陈旧,比较旧
有点陈旧,有点旧
比较旧,比较陈旧
有点旧,有点陈旧
提前,提早
高于预期,比想像好
餐厅,中餐厅
餐厅,西餐厅
中餐厅,餐厅
西餐厅,餐厅
游泳池,泳池
屋里,客房
屋里,屋子
屋里,房间
屋里,套间
房间,客房
房间,屋子
房间,套间
房间,屋里
屋子,房间
屋子,客房
屋子,套间
屋子,屋里
客房,房间
客房,屋子
客房,套间
套间,屋子
套间,房间
套间,客房
套间,屋里
卧具,床
床,卧具
床,床鋪
床鋪,床
不管用,沒有用
服务周到,服务不錯
服务周到,服务很好
服务很好,服务周到
服务不錯,服务周到
齐全,完整
齐全,完善
完整,完善
完善,完整
开心,舒心
舒心,开心
人性化,贴心
有新意,特別
小贵,贵
小贵,挺贵
便利,方便
烟味,霉味
烟味,臭味
霉味,烟味
霉味,臭味
臭味,烟味
臭味,霉味
烟味儿,烟味
烟味儿,臭味
烟味儿,烟味
有点怪,有点奇怪
有点怪,奇怪
有点怪,怪异
怪异,奇怪
奇怪,怪异
浴头,花洒
花洒,浴头
内部配套设施,设施
内部配套设施,配套设施
配套设施,设施
内部设施,设施
