source,target
小,細
挺寬大,挺寬
挺寬大,挺大
挺大,挺寬大
很寬大,很寬
很寬大,很大
很大,很寬大
闊大,寬大
寬大,闊大
早餐,早點
挺好,挺不錯
挺好,挺棒
還行,還可以
還可以,還行
較遠,較偏
很不錯,很好
豐盛,豐富
不便宜,貴
很不錯,很棒
很不錯,很到位
很到位,很不錯
到位,好
到位,不錯
很好,很棒
和藹,熱情
熱情,和藹
和藹,親切
親切,和藹
親切,熱情
種類,品種
大氣,富麗
富麗,大氣
滿意,好
非常好,非常滿意
超好,非常滿意
超好,非常好
非常好,超好
差,不好
很差,極差
很差,很不好
舒適,舒服
舒服,舒適
老,舊
舊,老
老,陳舊
陳舊,老
有點舊,比較舊
比較舊,有點舊
有點舊,比較老舊
比較老舊,有點舊
有點舊,有點老舊
比較舊,比較老舊
陳舊,舊
比較陳舊,比較舊
有點陳舊,有點舊
比較舊,比較陳舊
有點舊,有點陳舊
提前,提早
高於預期,比想像好
餐廳,中餐廳
餐廳,西餐廳
中餐廳,餐廳
西餐廳,餐廳
游泳池,泳池
屋裡,客房
屋裡,屋子
屋裡,房間
屋裡,套間
房間,客房
房間,屋子
房間,套間
房間,屋裡
屋子,房間
屋子,客房
屋子,套間
屋子,屋裡
客房,房間
客房,屋子
客房,套間
套間,屋子
套間,房間
套間,客房
套間,屋裡
卧具,床
床,卧具
床,床鋪
床鋪,床
不管用,沒有用
服務周到,服務不錯
服務周到,服務很好
服務很好,服務周到
服務不錯,服務周到
齊全,完整
齊全,完善
完整,完善
完善,完整
開心,舒心
舒心,開心
人性化,貼心
有新意,特別
小貴,貴
小貴,挺貴
便利,方便
煙味,霉味
煙味,臭味
霉味,煙味
霉味,臭味
臭味,煙味
臭味,霉味
煙味兒,煙味
煙味兒,臭味
煙味兒,煙味
有點怪,有點奇怪
有點怪,奇怪
有點怪,怪異
怪異,奇怪
奇怪,怪異
花灑,浴頭
花灑,蓮蓬頭
內部配套設施,設施
內部配套設施,配套設施
配套設施,設施
內部設施,設施
酒店,飯店
